year,democrat,republic,other,codecounty
2000,4942,11993,273,01001
2000,13997,40872,1611,01003
2000,5188,5096,111,01005
2000,2710,4273,118,01007
2000,4977,12667,329,01009
2000,3395,1433,76,01011
2000,3606,4127,70,01013
2000,15781,22306,822,01015
2000,5616,6037,181,01017
2000,3497,4154,172,01019
2000,4806,10066,220,01021
2000,3707,3600,67,01023
2000,4679,5988,85,01025
2000,2045,3719,119,01027
2000,1664,3333,95,01029
2000,5220,9938,276,01031
2000,10543,10518,471,01033
2000,2783,2699,69,01035
2000,2104,2382,81,01037
2000,4440,8961,212,01039
2000,1934,2793,68,01041
2000,9758,19157,610,01043
2000,4906,10593,307,01045
2000,10967,7360,137,01047
2000,7056,12827,402,01049
2000,6652,16777,375,01051
2000,4523,6975,162,01053
2000,17433,21087,828,01055
2000,3064,4582,162,01057
2000,4793,6119,191,01059
2000,2769,6588,202,01061
2000,3504,850,42,01063
2000,4652,2984,95,01065
2000,2782,4054,96,01067
2000,9412,22150,495,01069
2000,9066,8475,365,01071
2000,129889,138491,5383,01073
2000,2653,4470,126,01075
2000,13875,17478,784,01077
2000,6296,5671,218,01079
2000,14574,22433,1257,01081
2000,8992,14204,438,01083
2000,4557,1638,48,01085
2000,7665,1091,75,01087
2000,48199,62151,2968,01089
2000,4841,4690,77,01091
2000,4600,6910,246,01093
2000,10381,17084,524,01095
2000,58640,78162,2943,01097
2000,3741,5153,57,01099
2000,40371,38827,1130,01101
2000,16060,25774,847,01103
2000,4020,1732,35,01105
2000,4143,4306,91,01107
2000,4357,6058,129,01109
2000,3094,4666,159,01111
2000,8396,6198,181,01113
2000,13183,47651,1294,01117
2000,6485,17117,488,01115
2000,4415,1629,44,01119
2000,11264,13807,380,01121
2000,6183,9805,265,01123
2000,24614,34003,1497,01125
2000,11621,13486,534,01127
2000,3386,4117,93,01129
2000,3444,1661,21,01131
2000,2692,6413,213,01133
2000,13025,5947,484,04001
2000,13360,18180,1701,04003
2000,20280,17562,3041,04005
2000,7700,9158,878,04007
2000,3355,6007,302,04009
2000,1216,1619,125,04011
2000,1769,2543,171,04012
2000,386683,479967,35049,04013
2000,17470,24386,2285,04015
2000,11794,12386,967,04017
2000,147688,124579,15373,04019
2000,19650,20122,1518,04021
2000,5233,3344,316,04023
2000,24063,40144,4021,04025
2000,12055,15708,889,04027
2000,2877,3353,142,05001
2000,4253,3876,142,05003
2000,6516,9538,654,05005
2000,17277,34838,1531,05007
2000,4493,8569,573,05009
2000,2122,1793,64,05011
2000,1017,1128,40,05013
2000,3595,5556,439,05015
2000,2820,1564,68,05017
2000,4661,3776,189,05019
2000,3527,2254,119,05021
2000,4120,5730,357,05023
2000,1414,1678,89,05025
2000,4003,5018,286,05027
2000,3496,3545,193,05029
2000,12376,12158,623,05031
2000,6288,10804,533,05033
2000,7224,5857,153,05035
2000,3096,3033,86,05037
2000,1710,1571,44,05039
2000,2776,1603,116,05041
2000,3060,2756,106,05043
2000,11950,16055,1211,05045
2000,2674,3277,189,05047
2000,1976,2036,96,05049
2000,15840,19098,997,05051
2000,2535,3285,193,05053
2000,6319,5831,334,05055
2000,3937,3257,95,05057
2000,5527,5042,412,05059
2000,2063,2326,70,05061
2000,5146,6145,303,05063
2000,2587,2301,144,05065
2000,3651,2280,141,05067
2000,17716,8765,720,05069
2000,3270,3657,234,05071
2000,1806,1538,39,05073
2000,3255,2626,159,05075
2000,2727,1351,43,05077
2000,1957,1526,63,05079
2000,2883,2283,97,05081
2000,3283,4487,326,05083
2000,6851,10606,486,05085
2000,2055,3387,186,05087
2000,2233,3402,380,05089
2000,6278,7276,191,05091
2000,7107,5199,280,05093
2000,1910,1329,54,05095
2000,1438,2128,173,05097
2000,1867,1796,75,05099
2000,1205,2529,193,05101
2000,5464,4739,192,05103
2000,1648,2114,245,05105
2000,6018,3154,141,05107
2000,1604,2275,92,05109
2000,4102,2988,145,05111
2000,2315,4600,278,05113
2000,6669,11244,509,05115
2000,1563,1862,82,05117
2000,68320,55866,2965,05119
2000,3019,2673,185,05121
2000,12700,18617,1074,05125
2000,1444,2399,138,05127
